"Countries, territories and areas","Data Source","Beverage Types","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Cameroon","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","0.01","0.06","0.07","0.05","0","0","0","0","0","0"
"Cameroon","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","2.83","2.99","2.89","2.83","2.64","2.10","2.07","2.02","1.94","1.66"
"Canada","(WDT) 1961-1992; Statistics Canada 1993-2018","All types","8.40","8.40","8.30","8.20","8.00","","","","",""
"Canada","(WDT) 1961-1992; Statistics Canada 1993-2018","Beer","4.20","4.20","4.20","4.20","4.20","","","","",""
"Canada","(WDT) 1961-1992; Statistics Canada 1993-2018","Wine","1.90","1.80","1.80","1.70","1.60","","","","",""
"Canada","(WDT) 1961-1992; Statistics Canada 1993-2018","Spirits","2.10","2.10","2.10","2.10","2.00","","","","",""
"Canada","(WDT) 1961-1992; Statistics Canada 1993-2018","Other alcoholic beverages","0.20","0.20","0.20","0.20","0.20","","","","",""
"Central African Republic","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","1.66","1.73","1.69","1.70","1.57","1.60","1.61","1.60","1.67","1.68"
"Central African Republic","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","0.30","0.31","0.28","0.26","0.22","0.25","0.27","0.29","0.36","0.41"
"Central African Republic","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0.01","0.01","0.01","0.09","0.01","0.01","0.02","0.02","0.03","0.03"
"Central African Republic","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","0.04","0.02","0.03","0.04","0.03","0.03","0.04","0.02","0.04","0.02"
"Central African Republic","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","1.30","1.38","1.36","1.32","1.32","1.30","1.28","1.26","1.24","1.22"
"Chad","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","0.67","0.64","0.58","0.49","0.46","0.42","0.46","0.40","0.34","0.30"
"Chad","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","0.30","0.29","0.26","0.23","0.24","0.23","0.24","0.22","0.18","0.17"
"Chad","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0.19","0.16","0.14","0.05","0.05","0.09","0.05","0.05","0.05","0.05"
"Chad","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","0.02","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0","0"
"Chad","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","0.16","0.16","0.16","0.19","0.15","0.08","0.14","0.10","0.11","0.08"
"Chile","(WDT) 1961-1999; WHO 2000-2015; (GlobalData, WHO ) 2016-2017","All types","7.67","7.31","7.39","7.33","7.57","6.32","6.37","6.06","6.10","6.24"
"Chile","(WDT) 1961-1999; WHO 2000-2015; (GlobalData, WHO ) 2016-2017","Beer","2.32","2.43","2.34","2.26","2.01","1.83","1.81","1.76","1.79","1.80"
"Chile","(WDT) 1961-1999; WHO 2000-2015; (GlobalData, WHO ) 2016-2017","Wine","2.85","2.17","2.83","2.22","2.59","2.54","2.60","2.38","2.38","2.45"
"Chile","(WDT) 1961-1999; WHO 2000-2015; (GlobalData, WHO ) 2016-2017","Spirits","2.50","2.71","2.22","2.85","2.97","1.91","1.95","1.90","1.91","1.98"
"Chile","(WDT) 1961-1999; WHO 2000-2015; (GlobalData, WHO ) 2016-2017","Other alcoholic beverages","0","0","0","0","0","0.03","0.02","0.01","0.01","0.01"
"China","(FAO) 1961-1984; (WDT) 1985-1999; (GlobalData, IWSR, OIV) 2000-2004; WHO  (2012) 2005-2010; (GlobalData, IWSR, OIV) 2011-2018","All types","4.88","4.27","3.89","3.28","2.92","2.96","2.89","2.88","2.81","3.01"
"China","(FAO) 1961-1984; (WDT) 1985-1999; (GlobalData, IWSR, OIV) 2000-2004; WHO  (2012) 2005-2010; (GlobalData, IWSR, OIV) 2011-2018","Beer","1.59","1.55","1.43","1.34","1.18","1.09","0.99","0.96","0.92","0.92"
"China","(FAO) 1961-1984; (WDT) 1985-1999; (GlobalData, IWSR, OIV) 2000-2004; WHO  (2012) 2005-2010; (GlobalData, IWSR, OIV) 2011-2018","Wine","0.10","0.08","0.08","0.06","0.05","0.14","0.14","0.14","0.14","0.13"
"China","(FAO) 1961-1984; (WDT) 1985-1999; (GlobalData, IWSR, OIV) 2000-2004; WHO  (2012) 2005-2010; (GlobalData, IWSR, OIV) 2011-2018","Spirits","3.19","2.64","2.37","1.88","1.69","1.73","1.75","1.78","1.75","1.96"
"China","(FAO) 1961-1984; (WDT) 1985-1999; (GlobalData, IWSR, OIV) 2000-2004; WHO  (2012) 2005-2010; (GlobalData, IWSR, OIV) 2011-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Colombia","(FAO) 1961-1962; (WDT)1963-1999; (GlobalData, IWSR, OIV) 2000-2018","All types","4.24","4.35","4.54","4.43","4.27","4.13","4.14","4.32","4.31","4.52"
"Colombia","(FAO) 1961-1962; (WDT)1963-1999; (GlobalData, IWSR, OIV) 2000-2018","Beer","2.88","2.99","3.10","2.95","2.76","2.58","2.58","2.65","2.52","2.80"
"Colombia","(FAO) 1961-1962; (WDT)1963-1999; (GlobalData, IWSR, OIV) 2000-2018","Wine","0.05","0.05","0.05","0.05","0.05","0.04","0.04","0.04","0.04","0.02"
"Colombia","(FAO) 1961-1962; (WDT)1963-1999; (GlobalData, IWSR, OIV) 2000-2018","Spirits","1.29","1.29","1.37","1.41","1.43","1.50","1.50","1.60","1.71","1.65"
"Colombia","(FAO) 1961-1962; (WDT)1963-1999; (GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.01","0.02","0.04","0.04","0.04"
"Comoros","(FAO) 1961-2000; (FAO, Wine Institute) 2001-2017","All types","0.18","0.12","0.15","0.24","0.24","0.27","0.26","0.13","0.10","0.08"
"Comoros","(FAO) 1961-2000; (FAO, Wine Institute) 2001-2017","Beer","0.04","0.04","0.05","0.13","0.15","0.13","0.11","0.02","0.02","0.02"
"Comoros","(FAO) 1961-2000; (FAO, Wine Institute) 2001-2017","Wine","0.04","0.02","0.03","0.02","0.03","0.06","0.05","0.07","0.04","0.03"
"Comoros","(FAO) 1961-2000; (FAO, Wine Institute) 2001-2017","Spirits","0.10","0.06","0.07","0.09","0.06","0.08","0.10","0.04","0.04","0.03"
"Comoros","(FAO) 1961-2000; (FAO, Wine Institute) 2001-2017","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Congo","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","All types","3.45","3.23","2.91","2.68","2.28","2.03","2.26","2.33","2.05","2.05"
"Congo","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Beer","2.85","2.58","2.43","2.09","1.71","1.60","1.62","1.66","1.40","1.42"
"Congo","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Wine","0.23","0.25","0.18","0.23","0.18","0.17","0.15","0.16","0.21","0.22"
"Congo","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Spirits","0.36","0.40","0.29","0.36","0.38","0.25","0.49","0.50","0.44","0.41"
"Congo","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.02","0.01","0.01","0.01","0.00","0.01","0.00","0.00","0","0"
"Costa Rica","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","4.14","4.29","4.25","4.19","4.11","4.08","4.05","4.16","4.25","4.24"
"Costa Rica","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","2.47","2.50","2.44","2.35","2.30","2.24","2.25","2.23","2.24","2.25"
"Costa Rica","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.18","0.20","0.19","0.17","0.15","0.13","0.13","0.12","0.11","0.11"
"Costa Rica","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","1.45","1.55","1.58","1.64","1.63","1.70","1.67","1.81","1.90","1.87"
"Costa Rica","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.04","0.04","0.04","0.04","0.04","0.00","0.00","0.00","0.00","0.00"
"Croatia","(FAO) 1987-1999; (GlobalData, IWSR, OIV ) 2000-2018","All types","11.11","11.36","11.36","10.98","10.72","12.42","12.99","13.88","13.69","13.24"
"Croatia","(FAO) 1987-1999; (GlobalData, IWSR, OIV ) 2000-2018","Beer","4.74","5.02","5.12","4.98","4.85","4.94","5.14","5.04","5.26","5.15"
"Croatia","(FAO) 1987-1999; (GlobalData, IWSR, OIV ) 2000-2018","Wine","4.75","4.71","4.62","4.37","4.25","5.36","5.71","6.68","6.23","5.93"
"Croatia","(FAO) 1987-1999; (GlobalData, IWSR, OIV ) 2000-2018","Spirits","1.23","1.24","1.24","1.27","1.27","1.77","1.79","1.81","1.84","1.81"
"Croatia","(FAO) 1987-1999; (GlobalData, IWSR, OIV ) 2000-2018","Other alcoholic beverages","0.39","0.39","0.38","0.36","0.35","0.35","0.35","0.35","0.35","0.35"
"Cuba","(WDT) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","3.97","4.25","4.12","4.17","4.48","4.36","4.39","4.10","4.05","3.93"
"Cuba","(WDT) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","1.58","1.65","1.60","1.56","1.48","1.52","1.51","1.31","1.31","1.33"
"Cuba","(WDT) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.05","0.06","0.07","0.05","0.05","0.05","0.04","0.04","0.04","0.04"
"Cuba","(WDT) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","2.32","2.52","2.43","2.52","2.92","2.80","2.84","2.75","2.70","2.56"
"Cuba","(WDT) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.02","0.02","0.03","0.03","0.02","0.00","0.00","0.00","0.00","0.00"
"Cyprus","(WDT) 1961-1999; Cyprus 2000-2015","All types","10.81","12.03","11.58","11.48","11.41","13.03","10.62","11.68","10.16","9.56"
"Cyprus","(WDT) 1961-1999; Cyprus 2000-2015","Beer","3.69","3.90","3.71","3.58","3.62","3.60","3.56","3.50","3.71","3.69"
"Cyprus","(WDT) 1961-1999; Cyprus 2000-2015","Wine","2.60","2.97","2.92","2.92","2.79","2.64","2.50","2.70","2.47","2.52"
"Cyprus","(WDT) 1961-1999; Cyprus 2000-2015","Spirits","4.53","5.17","4.95","4.97","5.00","6.79","4.55","5.47","3.97","3.35"
"Cyprus","(WDT) 1961-1999; Cyprus 2000-2015","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Czechia","(WDT) 1993-1999; Czechia 2000-2016","All types","13.43","13.65","13.83","13.58","13.66","13.42","13.87","13.77","13.64","13.90"
"Czechia","(WDT) 1993-1999; Czechia 2000-2016","Beer","7.01","7.29","7.42","7.43","7.65","7.53","7.61","7.55","7.44","7.63"
"Czechia","(WDT) 1993-1999; Czechia 2000-2016","Wine","2.61","2.58","2.59","2.41","2.36","2.32","2.30","2.30","2.31","2.31"
"Czechia","(WDT) 1993-1999; Czechia 2000-2016","Spirits","3.81","3.77","3.82","3.74","3.65","3.57","3.95","3.92","3.89","3.96"
"Czechia","(WDT) 1993-1999; Czechia 2000-2016","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Democratic People's Republic of Korea","(FAO) 1961-2015","All types","3.34","3.15","3.12","3.27","3.20","3.13","3.13","3.09","2.54","3.54"
"Democratic People's Republic of Korea","(FAO) 1961-2015","Beer","0.15","0.14","0.18","0.19","0.19","0.19","0.21","0.20","0.20","0.23"
"Democratic People's Republic of Korea","(FAO) 1961-2015","Wine","0","0","0","0","0","0","0","0","0","0"
"Democratic People's Republic of Korea","(FAO) 1961-2015","Spirits","3.19","3.01","2.94","3.08","3.01","2.94","2.92","2.89","2.34","3.31"
"Democratic People's Republic of Korea","(FAO) 1961-2015","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Democratic Republic of the Congo","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","All types","1.01","1.13","0.87","0.44","0.37","0.34","0.48","0.52","0.47","0.55"
"Democratic Republic of the Congo","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Beer","0.55","0.53","0.48","0.41","0.34","0.32","0.27","0.27","0.26","0.29"
"Democratic Republic of the Congo","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Wine","0.06","0.02","0.02","0.02","0.01","0.01","0.01","0.00","0.00","0.00"
"Democratic Republic of the Congo","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Spirits","0.02","0.08","0.03","0.02","0.02","0.01","0.01","0.01","0.02","0.01"
"Democratic Republic of the Congo","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.38","0.49","0.34","0.00","0.00","0.00","0.19","0.24","0.19","0.25"
"Denmark","(WDT) 1961-1989; Statistics Denmark 1990-2018","All types","10.08","10.70","10.99","11.02","11.26","11.26","11.53","11.32","11.54","11.68"
"Denmark","(WDT) 1961-1989; Statistics Denmark 1990-2018","Beer","4.13","4.51","4.76","4.92","5.05","5.10","5.47","5.47","5.56","5.75"
"Denmark","(WDT) 1961-1989; Statistics Denmark 1990-2018","Wine","4.38","4.47","4.41","4.34","4.44","4.32","4.47","4.43","4.59","4.52"
"Denmark","(WDT) 1961-1989; Statistics Denmark 1990-2018","Spirits","1.52","1.66","1.74","1.69","1.78","1.85","1.60","1.42","1.39","1.41"
"Denmark","(WDT) 1961-1989; Statistics Denmark 1990-2018","Other alcoholic beverages","0.05","0.06","0.07","0.07","0","0","0","0","0","0"
"Djibouti","(FAO) 1961-1999; IWSR 2000-2018","All types","0.47","0.49","0.45","1.03","1.22","0.51","0.52","1.11","1.33","1.24"
"Djibouti","(FAO) 1961-1999; IWSR 2000-2018","Beer","0.23","0.24","0.19","0.23","0.23","0.23","0.23","0.23","0.23","0.23"
"Djibouti","(FAO) 1961-1999; IWSR 2000-2018","Wine","0.03","0.04","0.04","0.03","0.05","0.04","0.04","0.04","0.04","0.04"
"Djibouti","(FAO) 1961-1999; IWSR 2000-2018","Spirits","0.21","0.21","0.22","0.75","0.94","0.23","0.24","0.84","1.05","0.97"
"Djibouti","(FAO) 1961-1999; IWSR 2000-2018","Other alcoholic beverages","0.00","0.00","0.00","0.03","0.00","0.00","0.00","0.00","0.00","0.00"
"Dominica","(FAO) 1990-1999; (FAO, IWSR, Wine Institute) 2000-2017","All types","8.63","9.48","8.89","9.06","8.90","8.92","8.02","8.69","8.54","8.74"
"Dominica","(FAO) 1990-1999; (FAO, IWSR, Wine Institute) 2000-2017","Beer","1.99","1.90","1.92","1.76","1.74","1.60","1.63","1.59","1.50","1.55"
"Dominica","(FAO) 1990-1999; (FAO, IWSR, Wine Institute) 2000-2017","Wine","0.24","0.18","0.42","0.18","0.41","0.27","0.19","0.39","0.18","0.18"
"Dominica","(FAO) 1990-1999; (FAO, IWSR, Wine Institute) 2000-2017","Spirits","6.35","7.38","6.53","7.09","6.69","7.03","6.19","6.64","6.82","6.94"
"Dominica","(FAO) 1990-1999; (FAO, IWSR, Wine Institute) 2000-2017","Other alcoholic beverages","0.05","0.03","0.02","0.03","0.07","0.02","0.01","0.06","0.04","0.07"
"Dominican Republic","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","5.63","5.91","5.92","5.84","5.75","5.31","6.53","6.65","6.36","6.72"
"Dominican Republic","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","2.69","2.73","2.65","2.84","2.60","2.06","2.65","2.72","2.41","2.66"
"Dominican Republic","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.19","0.21","0.21","0.23","0.25","0.26","0.28","0.28","0.29","0.26"
"Dominican Republic","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","2.68","2.91","3.00","2.70","2.85","2.98","3.59","3.64","3.65","3.78"
"Dominican Republic","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.07","0.06","0.05","0.06","0.05","0.00","0.00","0.00","0.00","0.00"
"Ecuador","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","4.20","4.12","3.99","3.88","3.90","4.09","4.04","3.98","4.19","4.01"
"Ecuador","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","2.62","2.40","2.17","2.10","1.92","1.82","1.76","1.64","1.50","1.34"
"Ecuador","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.37","0.39","0.41","0.40","0.39","0.49","0.40","0.15","0.12","0.07"
"Ecuador","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","1.19","1.32","1.40","1.37","1.58","1.77","1.89","2.19","2.57","2.59"
"Ecuador","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00"
"Egypt","(FAO) 1961-1999; (FAO, GlobalData, IWSR, OIV) 2000-2018","All types","0.19","0.21","0.19","0.17","0.15","0.14","0.14","0.14","0.13","0.14"
"Egypt","(FAO) 1961-1999; (FAO, GlobalData, IWSR, OIV) 2000-2018","Beer","0.11","0.11","0.11","0.10","0.08","0.08","0.07","0.07","0.06","0.06"
"Egypt","(FAO) 1961-1999; (FAO, GlobalData, IWSR, OIV) 2000-2018","Wine","0.02","0.04","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Egypt","(FAO) 1961-1999; (FAO, GlobalData, IWSR, OIV) 2000-2018","Spirits","0.05","0.06","0.05","0.05","0.05","0.05","0.06","0.06","0.06","0.07"
"Egypt","(FAO) 1961-1999; (FAO, GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0","0","0","0","0"
"El Salvador","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","2.48","2.59","2.73","2.67","2.68","2.78","2.91","2.85","2.76","2.65"
"El Salvador","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","0.91","0.95","1.00","0.97","0.91","1.03","1.02","1.03","1.01","0.99"
"El Salvador","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.04","0.04","0.04","0.04","0.03","0.03","0.03","0.03","0.03","0.03"
"El Salvador","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","1.52","1.59","1.69","1.66","1.73","1.72","1.87","1.79","1.73","1.64"
"El Salvador","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.00","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00"
"Equatorial Guinea","(FAO) 1983-1999; (GlobalData, IWSR) 2000-2018","All types","7.20","7.71","8.31","8.70","7.82","8.11","7.87","7.12","6.79","6.70"
"Equatorial Guinea","(FAO) 1983-1999; (GlobalData, IWSR) 2000-2018","Beer","3.05","3.01","2.45","2.63","2.46","1.98","1.73","0.99","0.66","0.56"
"Equatorial Guinea","(FAO) 1983-1999; (GlobalData, IWSR) 2000-2018","Wine","2.65","3.09","2.73","3.09","2.86","3.82","3.82","3.82","3.82","3.82"
"Equatorial Guinea","(FAO) 1983-1999; (GlobalData, IWSR) 2000-2018","Spirits","1.45","1.57","3.07","2.85","2.39","2.18","2.18","2.18","2.18","2.18"
"Equatorial Guinea","(FAO) 1983-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.05","0.05","0.05","0.13","0.12","0.14","0.14","0.14","0.14","0.14"
"Eritrea","(FAO) 1961-1999; (FAO, GlobalData) 2000-2017","All types","0.85","0.66","1.75","1.29","1.18","0.72","0.62","0.89","0.67","0.88"
"Eritrea","(FAO) 1961-1999; (FAO, GlobalData) 2000-2017","Beer","0.51","0.41","0.46","0.60","0.72","0.61","0.46","0.49","0.51","0.53"
"Eritrea","(FAO) 1961-1999; (FAO, GlobalData) 2000-2017","Wine","0","0","0","0","0","0","0","0","0","0"
"Eritrea","(FAO) 1961-1999; (FAO, GlobalData) 2000-2017","Spirits","0.00","0.00","0.00","0.00","0.02","0.02","0.02","0.02","0.03","0.01"
"Eritrea","(FAO) 1961-1999; (FAO, GlobalData) 2000-2017","Other alcoholic beverages","0.34","0.25","1.29","0.69","0.44","0.09","0.14","0.38","0.13","0.34"
"Estonia","(WDT) 1990-1999; Estonia 2000-2018","All types","14.66","16.61","17.47","17.87","16.58","15.52","11.64","12.16","10.10","9.03"
"Estonia","(WDT) 1990-1999; Estonia 2000-2018","Beer","5.07","5.37","5.85","6.50","6.48","6.04","4.75","4.99","4.62","4.19"
"Estonia","(WDT) 1990-1999; Estonia 2000-2018","Wine","1.38","1.52","1.26","1.44","1.50","1.47","0.82","0.80","0.98","1.05"
"Estonia","(WDT) 1990-1999; Estonia 2000-2018","Spirits","6.52","7.69","8.36","7.87","6.62","6.13","4.81","5.05","3.92","3.22"
"Estonia","(WDT) 1990-1999; Estonia 2000-2018","Other alcoholic beverages","1.68","2.04","2.00","2.06","1.98","1.88","1.26","1.32","0.58","0.57"
"Eswatini","(FAO) 1990-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","5.65","5.64","6.34","6.26","5.05","5.76","5.62","5.51","6.70","6.80"
"Eswatini","(FAO) 1990-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","1.52","1.45","1.55","1.62","1.70","1.63","1.64","1.57","1.55","1.78"
"Eswatini","(FAO) 1990-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0.04","0.02","0.04","0.01","0.02","0.02","0.05","0.16","0.26","0.26"
"Eswatini","(FAO) 1990-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","0.03","0.02","0.41","0.50","0.15","0.89","0.42","0.03","0.46","0.08"
"Eswatini","(FAO) 1990-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","4.05","4.15","4.34","4.14","3.19","3.22","3.52","3.74","4.43","4.68"
"Ethiopia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","0.32","0.32","0.31","0.29","0.21","0.21","0.14","0.16","0.20","0.19"
"Ethiopia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","0.28","0.29","0.29","0.28","0.21","0.20","0.14","0.16","0.20","0.18"
"Ethiopia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.02","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Ethiopia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Ethiopia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Fiji","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","2.32","1.96","2.10","2.07","2.03","2.05","2.07","2.27","2.35","2.46"
"Fiji","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","1.35","1.36","1.37","1.38","1.42","1.44","1.46","1.67","1.66","1.76"
"Fiji","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0.02","0.02","0.02","0.02","0.02","0.02","0.01","0.02","0.11","0.11"
"Fiji","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","0.95","0.58","0.72","0.67","0.58","0.58","0.58","0.58","0.58","0.58"
"Fiji","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Finland","(STAKES) 1961-1989;  Finland 1990-2018","All types","9.96","10.26","10.45","10.15","9.95","9.89","9.31","9.25","8.94","8.88"
"Finland","(STAKES) 1961-1989;  Finland 1990-2018","Beer","4.54","4.62","4.70","4.57","4.59","4.57","4.37","4.43","4.37","4.27"
"Finland","(STAKES) 1961-1989;  Finland 1990-2018","Wine","1.85","1.85","1.82","1.55","1.47","1.42","1.43","1.31","1.19","1.07"
"Finland","(STAKES) 1961-1989;  Finland 1990-2018","Spirits","1.62","1.75","1.87","2.86","2.82","2.79","2.38","2.37","2.32","2.33"
"Finland","(STAKES) 1961-1989;  Finland 1990-2018","Other alcoholic beverages","1.95","2.04","2.06","1.17","1.08","1.11","1.13","1.14","1.06","1.21"
"France","(WDT) 1961-1999; INSEE/OFDT 2000-2018","All types","12.66","12.53","12.95","13.05","12.88","13.14","13.45","13.92","14.15","13.92"
"France","(WDT) 1961-1999; INSEE/OFDT 2000-2018","Beer","2.25","2.18","2.33","2.40","2.31","2.24","2.29","2.25","2.36","2.31"
"France","(WDT) 1961-1999; INSEE/OFDT 2000-2018","Wine","7.41","7.33","7.60","7.75","7.65","7.94","8.17","8.52","8.62","8.54"
"France","(WDT) 1961-1999; INSEE/OFDT 2000-2018","Spirits","2.70","2.72","2.72","2.70","2.62","2.67","2.65","2.74","2.76","2.66"
"France","(WDT) 1961-1999; INSEE/OFDT 2000-2018","Other alcoholic beverages","0.30","0.30","0.30","0.20","0.30","0.29","0.34","0.41","0.41","0.41"
"Gabon","(FAO) 1961-1999; (FAO, GlobalData, IWSR, Wine Institute) 2000-2018","All types","8.12","8.31","8.65","7.77","7.56","8.02","6.41","8.29","9.27","8.89"
"Gabon","(FAO) 1961-1999; (FAO, GlobalData, IWSR, Wine Institute) 2000-2018","Beer","5.69","5.91","5.56","5.36","5.20","4.78","4.80","5.32","6.03","5.87"
"Gabon","(FAO) 1961-1999; (FAO, GlobalData, IWSR, Wine Institute) 2000-2018","Wine","0.92","0.92","1.14","0.96","0.84","0.99","0.84","1.27","1.55","1.55"
"Gabon","(FAO) 1961-1999; (FAO, GlobalData, IWSR, Wine Institute) 2000-2018","Spirits","1.47","1.45","1.91","1.41","1.47","2.19","0.77","1.70","1.69","1.47"
"Gabon","(FAO) 1961-1999; (FAO, GlobalData, IWSR, Wine Institute) 2000-2018","Other alcoholic beverages","0.05","0.04","0.04","0.04","0.04","0.05","0","0","0","0"
"Gambia","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","3.05","2.98","3.19","3.25","3.31","3.56","3.63","3.37","3.28","3.16"
"Gambia","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","0.17","0.18","0.24","0.24","0.23","0.25","0.23","0.20","0.19","0.20"
"Gambia","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0.03","0.04","0.05","0.03","0.05","0.05","0.04","0.05","0.02","0.02"
"Gambia","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","0.01","0.01","0.05","0.04","0","0","0","0","0","0"
"Gambia","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","2.84","2.76","2.85","2.94","3.03","3.26","3.37","3.12","3.07","2.93"
"Georgia","(FAO) 1990-1999; (GlobalData, IWSR, OIV) 2000-2018","All types","6.26","7.27","6.89","5.69","4.36","2.89","2.79","2.74","2.77","3.29"
"Georgia","(FAO) 1990-1999; (GlobalData, IWSR, OIV) 2000-2018","Beer","0.90","1.19","1.09","0.88","0.79","0.60","0.56","0.51","0.46","0.41"
